typ_inond2;datentree;datsortie;id;scenario;emploi_max;hab_perm;est_ref;emploi_min;typ_inond;id_tri
;2019-04-18;;299-01322;04Fai;110;372;f;90;01;FRD_TRI_LYON
;2019-04-18;;148-69291;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;193-69068;02Moy;374;652;f;257;01;FRD_TRI_LYON
;2019-04-18;;205-69072;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;3-01347;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;231-69127;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;266-01376;04Fai;1;3;f;1;01;FRD_TRI_LYON
;2019-04-18;;161-69199;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;54-69069;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;107-01250;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;153-69055;02Moy;;6;f;0;01;FRD_TRI_LYON
;2019-04-18;;206-69250;04Fai;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;317-69034;04Fai;639;1737;f;460;01;FRD_TRI_LYON
;2019-04-18;;42-69270;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;231-69143;02Moy;1853;1439;f;1258;01;FRD_TRI_LYON
;2019-04-18;;158-69133;02Moy;;2;f;0;01;FRD_TRI_LYON
;2019-04-18;;203-69059;02Moy;5;47;f;5;01;FRD_TRI_LYON
;2019-04-18;;51-69179;01For;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;100-01157;01For;3;24;f;2;01;FRD_TRI_LYON
;2019-04-18;;129-69117;02Moy;;0;f;0;01;FRD_TRI_LYON
;2019-04-18;;188-69005;02Moy;997;300;f;713;01;FRD_TRI_LYON
;2019-04-18;;192-69003;02Moy;1412;979;f;1175;01;FRD_TRI_LYON
